school,elo,rank
James Madison,1449.8065618725045,190
Portland,1448.61928213675,191
San Diego,1446.2700977668185,192
Florida A&M,1444.6920229458108,193
Lindenwood,1444.479321888225,194
Marshall,1444.2743527035113,195
Winthrop,1443.878130491755,196
Illinois St.,1441.7034567932433,197
Southern Ind.,1440.5274657387083,198
CSU Bakersfield,1440.4766458843055,199
A&M-Corpus Christi,1439.78195716844,200
Nicholls,1437.0310665881614,201
Middle Tenn.,1436.1714542335822,202
Army West Point,1434.443530464749,203
Radford,1434.198034378914,204
South Dakota St.,1433.4150211109823,205
Delaware,1431.5661144563996,206
Bethune-Cookman,1430.5935414622493,207
Wright St.,1429.9141175483092,208
Navy,1429.793310880717,209
Marist,1428.383075565466,210
Nevada,1422.6299274622093,211
Niagara,1422.5382912566615,212
Northwestern St.,1417.4959337921373,213
New Mexico St.,1416.0209470846657,214
Penn,1414.895009666874,215
Pacific,1414.3665831038759,216
Villanova,1408.926165332598,217
UT Arlington,1406.544597098592,218
Omaha,1405.470696336396,219
Davidson,1403.9125498768476,220
Long Beach St.,1402.3355442063728,221
Bryant,1401.9810303503048,222
Gardner-Webb,1399.3789648691397,223
Evansville,1398.3004798745965,224
Georgetown,1396.581477214155,225
UT Martin,1395.746928300186,226
Pepperdine,1395.6284359446374,227
UMBC,1394.0960095056025,228
Towson,1392.6564646342676,229
Belmont,1392.5122734613738,230
Butler,1391.8597986670695,231
Fordham,1389.2195813728968,232
La Salle,1387.6651024928374,233
Central Mich.,1386.9906536529975,234
Quinnipiac,1385.1343794332852,235
Merrimack,1382.4253513812337,236
Seattle U,1380.6109882505932,237
Southern U.,1377.949512196494,238
Elon,1376.9364898027134,239
FDU,1376.8687373899177,240
William & Mary,1373.835772890683,241
Austin Peay,1373.7999449538397,242
VMI,1369.285854279343,243
Ball St.,1366.5570143976668,244
UIW,1365.5687920416703,245
UNC Asheville,1362.94028924431,246
Harvard,1359.250826611184,247
Eastern Ky.,1357.9218186370483,248
Eastern Mich.,1357.8302045237917,249
Saint Louis,1357.409215048962,250
Utah Valley,1355.834143710648,251
Wagner,1355.237054689487,252
North Dakota St.,1354.3413236981394,253
Northern Colo.,1352.1267852006904,254
Princeton,1349.846608543896,255
UC Riverside,1348.0936962167852,256
Tennessee Tech,1346.524617580445,257
Northern Ky.,1344.4848055170582,258
N.C. A&T,1342.8109703663565,259
Seton Hall,1335.8583576666833,260
Fresno St.,1335.0841247672001,261
Dartmouth,1334.8800010552297,262
UMass Lowell,1333.6356459549438,263
Queens (NC),1333.1392230526767,264
Canisius,1330.3110121513475,265
Mount St. Mary's,1330.1977897032466,266
Sacred Heart,1326.8179456708403,267
Cornell,1325.7779122981667,268
Western Ill.,1320.209443490019,269
Akron,1318.7400242114293,270
Ark.-Pine Bluff,1318.609715568675,271
Massachusetts,1317.1378354635387,272
West Ga.,1315.8751904956473,273
Manhattan,1313.457029796059,274
Bowling Green,1312.3178787364814,275
George Washington,1309.829591035261,276
Bellarmine,1309.3758066636121,277
St. Thomas (MN),1307.7946295787362,278
Youngstown St.,1305.3685863839185,279
Iona,1305.3252223641966,280
Lehigh,1303.503017358524,281
NJIT,1302.5342651784229,282
Siena,1300.322494980258,283
Le Moyne,1289.9808407329604,284
St. Bonaventure,1286.1140004680553,285
Bradley,1282.4163182830966,286
Presbyterian,1281.48254756509,287
Lafayette,1278.3014630202238,288
UAlbany,1273.5973733195237,289
Oakland,1272.6422158311962,290
LMU (CA),1270.5778952063372,291
Grambling,1266.0697596829211,292
Stonehill,1265.295028217858,293
Hartford,1263.002297508161,294
Ohio,1253.5135658568013,295
Valparaiso,1247.444550226204,296
Purdue Fort Wayne,1232.1359785234386,297
Jackson St.,1231.9998770306088,298
Texas Southern,1227.8741021434541,299
Central Conn. St.,1227.1580523706284,300
Mercyhurst,1185.587295964449,301
New Haven,1178.1980640676761,302
Prairie View,1161.7082704885524,303
Norfolk St.,1153.6409342996085,304
Coppin St.,1091.7617292997463,305
Mississippi Val.,1076.7108578607313,306
Delaware St.,1073.7663044393296,307
Saint Peter's,1063.117992638268,308
UMES,1015.8792736204514,309
Alabama A&M,987.3892156000775,310
Alcorn,926.9020218068808,311
