variant,avg CWS-prob of actual 8 (%),LSU champ rank,LSU champ %,Brier (CWS)
baseline,21.4225,5,5.83,0.021568188193548384
MOV,20.582500000000003,6,5.08,0.022919309806451613
recency-60d,17.544999999999998,27,0.9199999999999999,0.021592030064516127
