"","Elo Rating","school","Rank"
"159",1490.07467065503,"San Jose St.",159
"160",1487.28381337112,"St. Thomas (MN)",160
"161",1486.17747908595,"New Mexico",161
"162",1483.97269456102,"Ball St.",162
"163",1482.75163578457,"Stony Brook",163
"164",1478.08891554485,"Winthrop",164
"165",1477.80810758618,"Illinois St.",165
"166",1476.11264213233,"A&M-Corpus Christi",166
"167",1475.90556509867,"Seton Hall",167
"168",1474.03510893799,"Elon",168
"169",1473.803477767,"Grand Canyon",169
"170",1472.34385120383,"Army West Point",170
"171",1472.0729912545,"LIU",171
"172",1470.2046267678,"Wichita St.",172
"173",1466.55002359833,"California Baptist",173
"174",1465.78088927572,"Penn",174
"175",1461.98856428537,"Holy Cross",175
"176",1458.30802784256,"Central Conn. St.",176
"177",1456.31275909641,"Belmont",177
"178",1454.34497419683,"CSUN",178
"179",1452.82479845799,"James Madison",179
"180",1452.13647680549,"App State",180
"181",1452.09945251414,"Northern Ky.",181
"182",1449.82979327085,"Sacramento St.",182
"183",1449.32275216882,"Monmouth",183
"184",1448.02758667154,"Portland",184
"185",1447.53027113406,"UAB",185
"186",1446.89330637684,"Georgia St.",186
"187",1446.38644933903,"Saint Joseph's",187
"188",1446.31775450708,"North Dakota St.",188
"189",1446.20246727837,"Quinnipiac",189
"190",1445.84450799964,"Santa Clara",190
"191",1443.1720991227,"San Francisco",191
"192",1440.25361462905,"Tarleton St.",192
"193",1438.92861520033,"Middle Tenn.",193
"194",1438.72032411607,"Southeast Mo. St.",194
"195",1437.4221538817,"Bowling Green",195
"196",1436.72499245813,"UT Arlington",196
"197",1436.46527956819,"New Mexico St.",197
"198",1435.01980790305,"Southern Ind.",198
"199",1432.79959100336,"Marist",199
"200",1432.56682415672,"ULM",200
"201",1429.77967287602,"UNC Greensboro",201
"202",1429.69475788338,"SIUE",202
"203",1429.13580732814,"Nicholls",203
"204",1428.78968802613,"Memphis",204
"205",1427.31688465953,"Indiana St.",205
"206",1422.85278942961,"North Florida",206
"207",1422.50513597399,"North Ala.",207
"208",1422.37631166976,"Florida A&M",208
"209",1422.25741968,"Villanova",209
"210",1421.48108991436,"Evansville",210
"211",1420.13153512564,"Rice",211
"212",1419.24310499842,"Lindenwood",212
"213",1418.52698072316,"George Washington",213
"214",1417.84976725343,"Navy",214
"215",1417.56618698839,"Milwaukee",215
"216",1417.16169857581,"VMI",216
"217",1416.98057883478,"Sacred Heart",217
"218",1416.51406421445,"Radford",218
"219",1413.33814310883,"NJIT",219
