"date","year","loc","loc_neut","match_id","home_team","away_team","home_runs","away_runs","home_win","away_win","home_conference","away_conference","conference_group_1_home","conference_group_2_home","conference_group_3_home","conference_group_1_away","conference_group_2_away","conference_group_3_away","last_year_bid_home","last_year_bid_away"
"05/11/2019",2019,1,0,1664338,"Grand Canyon","Northern Colo.","5","4",1,0,"WAC","WAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664340,"Florida St.","Richmond","11","1",1,0,"ACC","Atlantic 10",1,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664341,"Ohio St.","Penn St.","6","10",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,1,0
"05/11/2019",2019,1,0,1664342,"CSU Bakersfield","UTRGV","7","2",1,0,"Big West","WAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664343,"VMI","UNC Greensboro","1","6",0,1,"SoCon","SoCon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664344,"North Florida","Kennesaw St.","3","2",1,0,"ASUN","ASUN",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664345,"Iowa","Michigan St.","4","9",0,1,"Big Ten","Big Ten",0,0,1,0,0,1,0,0
"05/11/2019",2019,0,0,1664347,"Nebraska","Arizona St.","2","1",1,0,"Big Ten","Pac-12",0,0,1,0,1,0,0,0
"05/11/2019",2019,0,0,1664348,"UConn","South Fla.","1","3",0,1,"Big East","AAC",0,0,0,0,0,0,1,1
"05/11/2019",2019,1,0,1664349,"Kansas St.","West Virginia","8","6",1,0,"Big 12","Big 12",0,1,0,0,1,0,0,0
"05/11/2019",2019,0,0,1664350,"UC Davis","CSUN","2","8",0,1,"Big West","Big West",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664351,"Western Ill.","Omaha","5","0",1,0,"Summit League","Summit League",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664353,"Northeastern","James Madison","8","9",0,1,"CAA","CAA",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664355,"Arkansas","LSU","2","3",0,1,"SEC","SEC",1,0,0,1,0,0,1,1
"05/11/2019",2019,0,0,1664356,"Portland","Pepperdine","7","12",1,0,"WCC","WCC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664357,"Liberty","Lipscomb","5","3",1,0,"ASUN","ASUN",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664358,"Fresno St.","San Diego St.","6","10",1,0,"Mountain West","Mountain West",0,0,0,0,0,0,0,1
"05/11/2019",2019,0,0,1664359,"Old Dominion","Marshall","6","3",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,0
"05/11/2019",2019,0,0,1664360,"Michigan","Indiana","8","10",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,0,1
"05/11/2019",2019,0,0,1664361,"Seattle U","New Mexico St.","5","17",1,0,"WAC","WAC",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664362,"Milwaukee","Oakland","13","1",1,0,"Horizon","Horizon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664363,"San Jose St.","Nevada","2","3",0,1,"Mountain West","Mountain West",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664364,"Washington St.","UCLA","0","10",0,1,"Pac-12","Pac-12",0,1,0,0,1,0,0,1
"05/11/2019",2019,1,0,1664366,"BYU","San Francisco","17","9",0,1,"WCC","WCC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664367,"DBU","Indiana St.","8","1",1,0,"MVC","MVC",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664368,"Air Force","Butler","6","10",1,0,"Mountain West","Big East",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664369,"Washington","Utah","5","4",1,0,"Pac-12","Pac-12",0,1,0,0,1,0,1,0
"05/11/2019",2019,0,0,1664370,"Louisiana","Georgia St.","16","6",0,1,"Sun Belt","Sun Belt",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664371,"Valparaiso","Southern Ill.","7","1",1,0,"MVC","MVC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664372,"The Citadel","ETSU","1","3",0,1,"SoCon","SoCon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664373,"Middle Tenn.","FIU","3","7",0,1,"C-USA","C-USA",0,0,1,0,0,1,0,0
"05/11/2019",2019,1,0,1664374,"Alabama","Texas A&M","2","1",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
"05/11/2019",2019,1,0,1664375,"Col. of Charleston","Towson","5","3",1,0,"CAA","CAA",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664376,"Saint Joseph's","VCU","0","4",0,1,"Atlantic 10","Atlantic 10",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664377,"Ole Miss","Mississippi St.","5","8",0,1,"SEC","SEC",1,0,0,1,0,0,1,1
"05/11/2019",2019,0,0,1664378,"Toledo","NIU","0","4",0,1,"MAC","MAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664379,"Southeast Mo. St.","Eastern Ky.","5","7",0,1,"OVC","OVC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664380,"Troy","ULM","6","14",1,0,"Sun Belt","Sun Belt",0,0,0,0,0,0,1,0
"05/11/2019",2019,0,0,1664382,"Saint Louis","George Mason","17","3",0,1,"Atlantic 10","Atlantic 10",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664383,"Duke","Georgia Tech","3","15",1,0,"ACC","ACC",1,0,0,1,0,0,1,0
"05/11/2019",2019,1,0,1664385,"Samford","Western Caro.","5","3",1,0,"SoCon","SoCon",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664386,"Rice","Southern Miss.","4","0",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,1
"05/11/2019",2019,1,0,1664387,"New Mexico","UNLV","8","18",1,0,"Mountain West","Mountain West",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664388,"Bowling Green","Kent St.","6","2",1,0,"MAC","MAC",0,0,0,0,0,0,0,1
"05/11/2019",2019,0,0,1664389,"Eastern Ill.","Austin Peay","5","29",1,0,"OVC","OVC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664391,"Evansville","Missouri St.","9","10",1,0,"MVC","MVC",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664392,"Bradley","Illinois St.","1","14",0,1,"MVC","MVC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664393,"Arizona","Southern California","8","5",1,0,"Pac-12","Pac-12",0,1,0,0,1,0,0,0
"05/11/2019",2019,1,0,1664394,"Gonzaga","Lamar University","16","0",1,0,"WCC","Southland",0,0,0,0,0,0,1,0
"05/11/2019",2019,0,0,1664395,"Eastern Mich.","Central Mich.","1","3",0,1,"MAC","MAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664396,"New Orleans","Houston Baptist","14","6",0,1,"Southland","Southland",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664397,"Houston","Tulane","7","9",0,1,"AAC","AAC",0,0,0,0,0,0,1,0
"05/11/2019",2019,0,0,1664399,"NJIT","FGCU","3","4",0,1,"America East","ASUN",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664400,"Iona","Monmouth","2","6",0,1,"MAAC","MAAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664401,"Notre Dame","Canisius","5","4",1,0,"ACC","MAAC",1,0,0,0,0,0,0,1
"05/11/2019",2019,0,0,1664402,"Seton Hall","Georgetown","7","1",1,0,"Big East","Big East",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664403,"Binghamton","UAlbany","1","3",0,1,"America East","America East",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664404,"Fairfield","Quinnipiac","3","0",1,0,"MAAC","MAAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,1,1664405,"Oklahoma St.","Oklahoma","2","3",0,1,"Big 12","Big 12",0,1,0,0,1,0,1,1
"05/11/2019",2019,0,0,1664406,"Yale","Princeton","5","4",1,0,"Ivy League","Ivy League",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664407,"Villanova","Xavier","1","6",0,1,"Big East","Big East",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664408,"Manhattan","Saint Peter's","15","7",0,1,"MAAC","MAAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664409,"Hartford","Maine","10","11",0,1,"America East","America East",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664410,"UMass Lowell","UMBC","4","2",1,0,"America East","America East",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664411,"Wagner","Stony Brook","2","4",0,1,"NEC","America East",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664412,"Rider","Marist","5","1",1,0,"MAAC","MAAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664413,"Ball St.","Ohio","6","5",1,0,"MAC","MAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664415,"Central Conn. St.","Fairleigh Dickinson","8","4",1,0,"NEC","NEC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664416,"Rutgers","Northwestern","5","4",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,0,0
"05/11/2019",2019,1,0,1664417,"Saint Mary's (CA)","Santa Clara","8","1",1,0,"WCC","WCC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664418,"Bryant","LIU","18","3",0,1,"NEC","NEC",0,0,0,0,0,0,0,1
"05/11/2019",2019,0,0,1664419,"South Dakota St.","Oral Roberts","3","5",0,1,"Summit League","Summit League",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664420,"App State","South Alabama","6","13",1,0,"Sun Belt","Sun Belt",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664421,"Jacksonville St.","SIUE","3","2",1,0,"OVC","OVC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664422,"Rhode Island","Massachusetts","8","3",1,0,"Atlantic 10","Atlantic 10",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664424,"UIC","Youngstown St.","10","4",0,1,"Horizon","Horizon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664425,"Wright St.","Northern Ky.","16","7",0,1,"Horizon","Horizon",0,0,0,0,0,0,1,0
"05/11/2019",2019,1,0,1664428,"Fordham","La Salle","7","2",1,0,"Atlantic 10","Atlantic 10",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664429,"Minnesota","Maryland","9","3",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,1,0
"05/11/2019",2019,0,0,1664430,"Wichita St.","East Carolina","3","1",1,0,"AAC","AAC",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664431,"Belmont","Mercer","10","4",0,1,"OVC","SoCon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664432,"Utah Valley","Sacramento St.","4","5",0,1,"WAC","WAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664433,"North Dakota St.","Purdue Fort Wayne","20","7",0,1,"Summit League","Horizon",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664434,"Memphis","Cincinnati","11","4",0,1,"AAC","AAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664435,"Oregon","Oregon St.","5","8",0,1,"Pac-12","Pac-12",0,1,0,0,1,0,0,1
"05/11/2019",2019,0,0,1664436,"UC Santa Barbara","Long Beach St.","13","1",1,0,"Big West","Big West",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664437,"Little Rock","Texas St.","9","5",1,0,"Sun Belt","Sun Belt",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664440,"Tennessee Tech","Morehead St.","8","7",1,0,"OVC","OVC",0,0,0,0,0,0,1,1
"05/11/2019",2019,0,0,1664441,"UAB","Charlotte","9","5",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,0
"05/11/2019",2019,1,0,1664443,"Illinois","Purdue","5","4",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,0,1
"05/11/2019",2019,1,0,1664444,"Longwood","Presbyterian","1","10",0,1,"Big South","Big South",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664445,"Ga. Southern","Arkansas St.","17","6",0,1,"Sun Belt","Sun Belt",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664447,"UTSA","Fla. Atlantic","4","1",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,1
"05/11/2019",2019,0,0,1664449,"Virginia","Louisville","12","6",0,1,"ACC","ACC",1,0,0,1,0,0,0,1
"05/11/2019",2019,1,0,1664450,"Miami (OH)","Western Mich.","3","6",0,1,"MAC","MAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664451,"TCU","Kansas","7","4",1,0,"Big 12","Big 12",0,1,0,0,1,0,0,0
"05/11/2019",2019,1,0,1664452,"Charleston So.","USC Upstate","12","4",0,1,"Big South","Big South",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664453,"Mount St. Mary's","Sacred Heart","4","9",0,1,"NEC","NEC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664454,"Central Ark.","Abilene Christian","11","3",0,1,"Southland","Southland",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664455,"San Diego","Pacific","7","16",1,0,"WCC","WCC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664456,"UC Irvine","Cal Poly","8","0",1,0,"Big West","Big West",0,0,0,0,0,0,0,0
"05/11/2019",2019,1,0,1664458,"Nicholls","SFA","6","3",1,0,"Southland","Southland",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664459,"UC Riverside","Cal St. Fullerton","5","13",1,0,"Big West","Big West",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664460,"N.C. Central","Norfolk St.","6","3",1,0,"MEAC","MEAC",0,0,0,0,0,0,0,0
"05/11/2019",2019,0,0,1664461,"NC State","Clemson","3","4",0,1,"ACC","ACC",1,0,0,1,0,0,1,1
"05/11/2019",2019,1,0,1664462,"Creighton","St. John's (NY)","4","6",0,1,"Big East","Big East",0,0,0,0,0,0,0,1
"05/11/2019",2019,1,0,1664463,"Florida","Tennessee","7","8",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
"05/11/2019",2019,1,0,1664465,"Jacksonville","Stetson","2","1",1,0,"ASUN","ASUN",0,0,0,0,0,0,1,1
"05/12/2019",2019,1,0,1664466,"California","Stanford","2","5",0,1,"Pac-12","Pac-12",0,1,0,0,1,0,0,1
"05/12/2019",2019,0,0,1664467,"South Carolina","Kentucky","2","6",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
"05/13/2019",2019,0,0,1664468,"Wake Forest","Miami (FL)","9","7",1,0,"ACC","ACC",1,0,0,1,0,0,0,0
"05/13/2019",2019,1,0,1664469,"Iona","Monmouth","4","9",0,1,"MAAC","MAAC",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664470,"Vanderbilt","Missouri","7","2",1,0,"SEC","SEC",1,0,0,1,0,0,1,0
"05/12/2019",2019,0,0,1664472,"High Point","Gardner-Webb","2","10",1,0,"Big South","Big South",0,0,0,0,0,0,0,0
"05/12/2019",2019,1,0,1664473,"Grand Canyon","Northern Colo.","13","2",0,1,"WAC","WAC",0,0,0,0,0,0,0,0
"05/12/2019",2019,1,0,1664475,"Florida St.","Richmond","7","2",1,0,"ACC","Atlantic 10",1,0,0,0,0,0,1,0
"05/12/2019",2019,1,0,1664477,"CSU Bakersfield","UTRGV","7","8",0,1,"Big West","WAC",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664478,"VMI","UNC Greensboro","3","13",1,0,"SoCon","SoCon",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664479,"North Florida","Kennesaw St.","4","9",0,1,"ASUN","ASUN",0,0,0,0,0,0,0,0
"05/12/2019",2019,1,0,1664480,"Iowa","Michigan St.","5","7",0,1,"Big Ten","Big Ten",0,0,1,0,0,1,0,0
"05/12/2019",2019,0,0,1664482,"Nebraska","Arizona St.","8","5",1,0,"Big Ten","Pac-12",0,0,1,0,1,0,0,0
"05/12/2019",2019,1,0,1664484,"Kansas St.","West Virginia","4","7",0,1,"Big 12","Big 12",0,1,0,0,1,0,0,0
"05/12/2019",2019,0,0,1664485,"UC Davis","CSUN","11","4",0,1,"Big West","Big West",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664486,"Western Ill.","Omaha","8","5",1,0,"Summit League","Summit League",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664487,"McNeese","A&M-Corpus Christi","0","2",0,1,"Southland","Southland",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664488,"Northeastern","James Madison","5","4",1,0,"CAA","CAA",0,0,0,0,0,0,1,0
"05/12/2019",2019,0,0,1664490,"Notre Dame","Canisius","3","2",1,0,"ACC","MAAC",1,0,0,0,0,0,0,1
"05/12/2019",2019,0,0,1664491,"Wichita St.","East Carolina","3","7",0,1,"AAC","AAC",0,0,0,0,0,0,0,1
"05/12/2019",2019,0,0,1664492,"Portland","Pepperdine","2","1",1,0,"WCC","WCC",0,0,0,0,0,0,0,0
"05/12/2019",2019,1,0,1664493,"Liberty","Lipscomb","11","0",1,0,"ASUN","ASUN",0,0,0,0,0,0,0,0
"05/12/2019",2019,1,0,1664494,"Fresno St.","San Diego St.","8","3",1,0,"Mountain West","Mountain West",0,0,0,0,0,0,0,1
"05/12/2019",2019,0,0,1664495,"Old Dominion","Marshall","9","8",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,0
"05/12/2019",2019,0,0,1664496,"Michigan","Indiana","6","5",1,0,"Big Ten","Big Ten",0,0,1,0,0,1,0,1
"05/12/2019",2019,0,0,1664497,"Seattle U","New Mexico St.","3","16",1,0,"WAC","WAC",0,0,0,0,0,0,0,1
"05/12/2019",2019,1,0,1664498,"Milwaukee","Oakland","5","6",0,1,"Horizon","Horizon",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664499,"San Jose St.","Nevada","2","3",0,1,"Mountain West","Mountain West",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664502,"Washington St.","UCLA","10","13",0,1,"Pac-12","Pac-12",0,1,0,0,1,0,0,1
"05/12/2019",2019,1,0,1664503,"DBU","Indiana St.","7","3",1,0,"MVC","MVC",0,0,0,0,0,0,1,0
"05/12/2019",2019,1,0,1664504,"Air Force","Butler","8","7",1,0,"Mountain West","Big East",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664505,"Washington","Utah","4","2",1,0,"Pac-12","Pac-12",0,1,0,0,1,0,1,0
"05/12/2019",2019,0,0,1664506,"Louisiana","Georgia St.","11","5",0,1,"Sun Belt","Sun Belt",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664507,"Valparaiso","Southern Ill.","4","1",1,0,"MVC","MVC",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664508,"The Citadel","ETSU","0","9",0,1,"SoCon","SoCon",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664509,"Middle Tenn.","FIU","6","10",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,0
"05/12/2019",2019,1,0,1664510,"Alabama","Texas A&M","5","6",0,1,"SEC","SEC",1,0,0,1,0,0,0,1
"05/12/2019",2019,1,0,1664511,"Col. of Charleston","Towson","10","9",0,1,"CAA","CAA",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664513,"Ole Miss","Mississippi St.","5","11",1,0,"SEC","SEC",1,0,0,1,0,0,1,1
"05/12/2019",2019,0,0,1664515,"Southeast Mo. St.","Eastern Ky.","3","6",0,1,"OVC","OVC",0,0,0,0,0,0,0,0
"05/12/2019",2019,0,0,1664518,"Saint Louis","George Mason","16","2",0,1,"Atlantic 10","Atlantic 10",0,0,0,0,0,0,1,0
"05/12/2019",2019,1,0,1664519,"Duke","Georgia Tech","10","4",0,1,"ACC","ACC",1,0,0,1,0,0,1,0
"05/12/2019",2019,1,0,1664521,"Samford","Western Caro.","4","2",1,0,"SoCon","SoCon",0,0,0,0,0,0,1,0
"05/12/2019",2019,1,0,1664522,"Rice","Southern Miss.","7","2",1,0,"C-USA","C-USA",0,0,1,0,0,1,0,1
