"","final.elos(elo_optim)","school"
"147",1050.94428167053,"Mississippi Val."
"148",1507.63217113565,"Missouri"
"149",1548.98874095255,"Missouri St."
"150",1449.32275216882,"Monmouth"
"151",1255.49024920164,"Morehead St."
"152",1373.58660446744,"Mount St. Mary's"
"153",1700.00987789597,"Murray St."
"154",1355.27516984315,"N.C. A&T"
"155",1523.03553779333,"N.C. Central"
"156",1417.84976725343,"Navy"
"157",1716.39905712419,"NC State"
"158",1759.91433379967,"Nebraska"
"159",1505.63899548849,"Nevada"
"160",1486.17747908595,"New Mexico"
"161",1436.46527956819,"New Mexico St."
"162",1505.3066233336,"New Orleans"
"163",1369.72485877602,"Niagara"
"164",1429.13580732814,"Nicholls"
"165",1365.53238977006,"NIU"
"166",1413.33814310883,"NJIT"
"167",977.778871252724,"Norfolk St."
"168",1422.50513597399,"North Ala."
"169",1920.36925875017,"North Carolina"
"170",1446.31775450708,"North Dakota St."
"171",1422.85278942961,"North Florida"
"172",1861.66650744058,"Northeastern"
"173",1319.35778287395,"Northern Colo."
"174",1452.09945251414,"Northern Ky."
"175",1515.63659915143,"Northwestern"
"176",1548.75472148145,"Northwestern St."
"177",1685.78741216636,"Notre Dame"
"178",1323.65804928619,"Oakland"
"179",1316.81969570432,"Ohio"
"180",1394.71147055316,"Ohio St."
"181",1785.02950268314,"Oklahoma"
"182",1722.73756110203,"Oklahoma St."
"183",1562.08892367172,"Old Dominion"
"184",1848.96522536226,"Ole Miss"
"185",1368.72862782622,"Omaha"
"186",1515.54212310993,"Oral Roberts"
"187",1771.8117730671,"Oregon"
"188",1827.54062690471,"Oregon St."
"189",1313.99638413699,"Pacific"
"190",1465.78088927572,"Penn"
"191",1630.39870565884,"Penn St."
"192",1267.64729373148,"Pepperdine"
"193",1662.88745589205,"Pittsburgh"
"194",1448.02758667154,"Portland"
"195",1193.48919501169,"Prairie View"
"196",1301.23144361728,"Presbyterian"
"197",1327.82941227157,"Princeton"
"198",1566.52449258243,"Purdue"
"199",1209.86861140733,"Purdue Fort Wayne"
"200",1270.01071218713,"Queens (NC)"
"201",1446.20246727837,"Quinnipiac"
"202",1416.51406421445,"Radford"
"203",1657.88162999898,"Rhode Island"
"204",1420.13153512564,"Rice"
"205",1492.412627125,"Richmond"
"206",1520.04106197559,"Rider"
"207",1597.70766382053,"Rutgers"
"208",1449.82979327085,"Sacramento St."
"209",1416.98057883478,"Sacred Heart"
"210",1446.38644933903,"Saint Joseph's"
"211",1493.42063200723,"Saint Louis"
"212",1653.51530102988,"Saint Mary's (CA)"
"213",1144.22536866323,"Saint Peter's"
"214",1367.19406092986,"Sam Houston"
"215",1591.08563769778,"Samford"
"216",1617.58213979507,"San Diego"
"217",1396.08755050493,"San Diego St."
"218",1443.1720991227,"San Francisco"
"219",1490.07467065503,"San Jose St."
"220",1445.84450799964,"Santa Clara"
"221",1365.86703882516,"Seattle U"
"222",1475.90556509867,"Seton Hall"
"223",1369.12574330623,"SFA"
"224",1305.19509718936,"Siena"
"225",1429.69475788338,"SIUE"
"226",1514.03780502131,"South Alabama"
"227",1639.16597466199,"South Carolina"
"228",1291.86785816215,"South Dakota St."
"229",1575.28924915302,"South Fla."
"230",1438.72032411607,"Southeast Mo. St."
"231",1591.83043529672,"Southeastern La."
"232",1668.05524697895,"Southern California"
"233",1493.08599280844,"Southern Ill."
"234",1435.01980790305,"Southern Ind."
"235",1824.01130324359,"Southern Miss."
"236",1273.16605592474,"Southern U."
"237",1409.23988885562,"St. Bonaventure"
"238",1551.80351402235,"St. John's (NY)"
"239",1487.28381337112,"St. Thomas (MN)"
"240",1590.15055315572,"Stanford"
"241",1662.46800772652,"Stetson"
"242",1257.04985506563,"Stonehill"
"243",1482.75163578457,"Stony Brook"
"244",1440.25361462905,"Tarleton St."
"245",1750.43027954465,"TCU"
"246",1877.93706202292,"Tennessee"
"247",1496.79360431054,"Tennessee Tech"
"248",1840.79659013055,"Texas"
"249",1773.13109031091,"Texas A&M"
"250",1209.88039256199,"Texas Southern"
"251",1530.71833561388,"Texas St."
"252",1565.67722877324,"Texas Tech"
"253",1533.21345040537,"The Citadel"
"254",1556.51860672674,"Toledo"
"255",1390.16921241609,"Towson"
"256",1633.48566894136,"Troy"
"257",1632.34465585609,"Tulane"
"258",1447.53027113406,"UAB"
"259",1361.1815731498,"UAlbany"
"260",1511.13594421524,"UC Davis"
"261",1739.10888790703,"UC Irvine"
"262",1316.38152627145,"UC Riverside"
"263",1552.10013474269,"UC San Diego"
"264",1642.02939257579,"UC Santa Barbara"
"265",1629.76757232403,"UCF"
"266",1735.89529550313,"UCLA"
"267",1703.69687387292,"UConn"
"268",1509.06187239021,"UIC"
"269",1321.02395594974,"UIW"
"270",1432.56682415672,"ULM"
"271",1310.30279077312,"UMass Lowell"
"272",1316.02526086447,"UMBC"
"273",991.815076941089,"UMES"
"274",1341.4192064474,"UNC Asheville"
"275",1429.77967287602,"UNC Greensboro"
"276",1670.76580639081,"UNCW"
"277",1513.4530056076,"UNLV"
"278",1656.35330166953,"USC Upstate"
"279",1436.72499245813,"UT Arlington"
"280",1306.63167373866,"UT Martin"
"281",1549.12127472129,"Utah"
"282",1409.03064323197,"Utah Tech"
"283",1531.04358414027,"Utah Valley"
"284",1617.07531019209,"UTRGV"
"285",1698.52584724889,"UTSA"
"286",1273.13561495504,"Valparaiso"
"287",1935.52090840075,"Vanderbilt"
"288",1391.00292723284,"VCU"
"289",1422.25741968,"Villanova"
"290",1713.0335022897,"Virginia"
"291",1648.70852787637,"Virginia Tech"
"292",1417.16169857581,"VMI"
"293",1372.37012003172,"Wagner"
"294",1708.49462976542,"Wake Forest"
"295",1569.40320838516,"Washington"
"296",1339.49087498038,"Washington St."
"297",1389.82834734208,"West Ga."
"298",1693.34117565939,"West Virginia"
"299",1552.09656786856,"Western Caro."
"300",1339.65421970235,"Western Ill."
"301",1765.33143838846,"Western Ky."
"302",1409.14014606938,"Western Mich."
"303",1470.2046267678,"Wichita St."
"304",1398.11884515677,"William & Mary"
"305",1478.08891554485,"Winthrop"
"306",1525.15469545124,"Wofford"
"307",1589.82227985904,"Wright St."
"308",1610.89967012363,"Xavier"
"309",1522.40310958779,"Yale"
"310",1245.37741223908,"Youngstown St."
